fecha,url_autor,tiempo_lectura,titulo,subtitulo,aplausos,respuestas,url leer mas
14/12/2020,https://medium.com/@dhyanintech,6 min read,A Node Function App to Get JSON Results From Azure Synapse Analytics,Building an Azure Functions App…,50,0 responses,https://medium.com/swlh/a-node-function-app-to-get-json-results-from-azure-synapse-analytics-e671dd6ae827?source=collection_archive---------44-----------------------
14/12/2020,https://medium.com/@conlow,5 min read,The #RDOF Is Progress in Closing the Digital Divide,-,41,0 responses,https://medium.com/swlh/the-rdof-is-progress-in-closing-the-digital-divide-eb751555e6f7?source=collection_archive---------45-----------------------
14/12/2020,https://medium.com/@n-kovalchuk,5 min read,How to Easily Send API Requests and Get API Responses from Different Shopping Platforms,-,40,0 responses,https://medium.com/swlh/how-to-easily-send-api-requests-and-get-api-responses-from-different-shopping-platforms-e4c08399e874?source=collection_archive---------46-----------------------
14/12/2020,https://medium.com/@kenbourke,4 min read,Running a .NET Project,C# From Scratch Part 2.2,48,0 responses,https://medium.com/swlh/running-a-net-project-6d18b840b607?source=collection_archive---------47-----------------------
14/12/2020,https://medium.com/@collectedview,5 min read,Git Interactive Rebase,-,40,0 responses,https://medium.com/swlh/git-interactive-rebase-b8c2c01fe6b3?source=collection_archive---------48-----------------------
14/12/2020,https://medium.com/@jrause,4 min read,Get More Out of Your Checklists: Liminal States in Software Delivery,-,32,0 responses,https://medium.com/swlh/get-more-out-of-your-checklists-liminal-states-in-software-delivery-99244798ba3b?source=collection_archive---------49-----------------------
14/12/2020,https://medium.com/@joebuff,17 min read,Deterrence Isn’t Just for Nukes,"Spacewar and Cyberwar: Defense via Deterrence, i.e. via the Advance…",45,0 responses,https://medium.com/swlh/deterrence-isnt-just-for-nukes-7c451a99c37b?source=collection_archive---------50-----------------------
04/07/2020,https://medium.com/@abdulazizalghannami,8 min read,Exploring Markov Chains in Stock Market Trends,Primer,297,2 responses,https://medium.com/swlh/exploring-markov-chains-in-stock-market-trends-48e1a4951193?source=collection_archive---------0-----------------------
04/07/2020,https://medium.com/@iashishhere,10 min read,Apache Airflow in 10 minutes,A quick introduction to Apache Airflow (A beginners guide),93,2 responses,https://medium.com/swlh/apache-airflow-in-5-minutes-c005b4b11b26?source=collection_archive---------1-----------------------
04/07/2020,https://medium.com/@robertodev,5 min read,My first Vue3 component,"My first Vue3 component, building a sample application with: vite, composition…",226,3 responses,https://medium.com/swlh/my-first-vue3-component-6e1ef1670544?source=collection_archive---------2-----------------------
04/07/2020,https://medium.com/@mars_escobin,6 min read,Grouping and Aggregating Data in Pandas,"Using groupby, pivot_table and crosstab functions",278,1 response,https://medium.com/swlh/grouping-and-aggregating-data-in-pandas-7cae8c5023ce?source=collection_archive---------3-----------------------
04/07/2020,https://medium.com/@nattress.sam,8 min read,The Next Wave of Startups Is Coming Out of Nature,"Whether it’s AI or concrete, innovation is coming…",549,6 responses,https://medium.com/swlh/the-next-wave-of-startups-is-coming-out-of-nature-1d5061c68b24?source=collection_archive---------4-----------------------
04/07/2020,https://medium.com/@sarit-maitra,9 min read,Time Series Analysis & Predictive Modeling Using Supervised Machine Learning,Stock price prediction…,101,0 responses,https://medium.com/swlh/time-series-analysis-predictive-modeling-using-supervised-machine-learning-39d886675fbd?source=collection_archive---------5-----------------------
04/07/2020,https://medium.com/@dbo1093,10 min read,Vim for Developers: Part 3— Advanced Vim,-,151,1 response,https://medium.com/swlh/vim-for-developers-part-3-advanced-vim-6055081751bd?source=collection_archive---------6-----------------------
04/07/2020,https://medium.com/@auyadhu,7 min read,8 Powerful Funnels You Need to Sell Anything Online,-,386,2 responses,https://medium.com/swlh/8-powerful-funnels-you-need-to-sell-anything-online-55bb4bd6627f?source=collection_archive---------7-----------------------
04/07/2020,https://medium.com/@emymbenoun,7 min read,Web Scraping 101: Let’s Build a Curated List Using Laravel 7 and Tailwind CSS,-,165,0 responses,https://medium.com/swlh/web-scraping-101-lets-build-a-curated-list-using-laravel-7-and-tailwind-css-beca3ca98651?source=collection_archive---------8-----------------------
04/07/2020,https://medium.com/@tomilolashitta,9 min read,Applying Mathematics — Data Science & Machine Learning,-,139,0 responses,https://medium.com/swlh/applying-mathematics-data-science-machine-learning-980b63fa63ab?source=collection_archive---------9-----------------------
04/07/2020,https://medium.com/@Dylan.Kerler,4 min read,What Is a Dangling Pointer?,-,120,0 responses,https://medium.com/swlh/what-is-a-dangling-pointer-2773d49cf86c?source=collection_archive---------10-----------------------
04/07/2020,https://medium.com/@peretti.juan,5 min read,Data Layer Using the Repository Pattern,Introduction,97,0 responses,https://medium.com/swlh/data-layer-using-the-repository-pattern-e32b19b04466?source=collection_archive---------11-----------------------
04/07/2020,https://medium.com/@antozanini,3 min read,Defining JPA/Hibernate Entities in Kotlin,Let’s see how to properly define JPA/Hibernate entities in Kotlin,54,0 responses,https://medium.com/swlh/defining-jpa-hibernate-entities-in-kotlin-1ff8ee470805?source=collection_archive---------12-----------------------
04/07/2020,https://medium.com/@shashank.ramesh2396,12 min read,Semantic Code Search Using Transformers and BERT- Part II: Converting Docstrings to Vectors,-,159,0 responses,https://medium.com/swlh/semantic-code-search-using-transformers-and-bert-part-ii-converting-docstrings-to-vectors-7bf2be89c670?source=collection_archive---------13-----------------------
04/07/2020,https://medium.com/@attyuttam,9 min read,Using Linear Regression to Predict Max Temperature Based on Weather Conditions,-,57,0 responses,https://medium.com/swlh/using-linear-regression-to-predict-max-temperature-based-on-weather-conditions-2d776947cc2d?source=collection_archive---------14-----------------------
04/07/2020,https://medium.com/@shashank.ramesh2396,18 min read,Semantic Code Search Using Transformers and BERT- Part III: Converting Functions to Vectors & Deploying the Search…,-,160,0 responses,https://medium.com/swlh/semantic-code-search-using-transformers-and-bert-part-iii-converting-functions-to-vectors-47747aef0cf0?source=collection_archive---------15-----------------------
04/07/2020,https://medium.com/@farewell_ladmin,9 min read,Investigating and Mitigating MTG: Arena Network Errors,-,50,0 responses,https://medium.com/swlh/investigating-and-mitigating-mtg-arena-network-errors-23baa46802bb?source=collection_archive---------16-----------------------
04/07/2020,https://medium.com/@Sushil_Kumar,6 min read,Setting up HA Vault Cluster on GCP,-,84,1 response,https://medium.com/swlh/setting-up-ha-vault-cluster-on-gcp-3e9e8222ac39?source=collection_archive---------17-----------------------
04/07/2020,https://medium.com/@anthonyleegmc,6 min read,This Is One Strategy for Sleeping Time That Actually Changed My…,Productivity and self-improvement,145,0 responses,https://medium.com/swlh/this-is-one-strategy-for-sleeping-time-that-actually-changed-my-life-48311e62ba8d?source=collection_archive---------18-----------------------
04/07/2020,https://medium.com/@aakashjhawar,10 min read,Random Walk: Will the Drunk Man Fall Off the Cliff?,A drunk man stands with a cliff one step to his…,153,0 responses,https://medium.com/swlh/random-walk-a-comprehensive-illustration-aa13373830d1?source=collection_archive---------19-----------------------
04/07/2020,https://medium.com/@essharmav,4 min read,Socket Programming in Python,Communicate with network,66,0 responses,https://medium.com/swlh/socket-programming-in-python-580efe2ca31d?source=collection_archive---------20-----------------------
04/07/2020,https://medium.com/@evayde,3 min read,"Closures, Partials, and Currying in JavaScript",-,66,0 responses,https://medium.com/swlh/closures-partials-and-currying-in-javascript-6ede4ffb2bc1?source=collection_archive---------21-----------------------
04/07/2020,https://medium.com/@creesnick,6 min read,6 Technologies That Will Redefine Transportation,Taking a glimpse into groundbreaking innovations that…,208,1 response,https://medium.com/swlh/6-technologies-that-will-redefine-transportation-723dbdcdc08b?source=collection_archive---------22-----------------------
04/07/2020,https://medium.com/@imrajeshberwal,8 min read,"So, What I Have Learned So Far","From starting as a beginner to mastering a field, join him in this…",366,2 responses,https://medium.com/swlh/so-what-i-have-learned-so-far-72bcd23b76f9?source=collection_archive---------23-----------------------
04/07/2020,https://medium.com/@mukundan.sankar14,4 min read,How to Predict If Someone Would Default on Their Credit Payment Using Deep Learning,-,98,0 responses,https://medium.com/swlh/how-to-predict-if-someone-would-default-on-their-credit-payment-using-deep-learning-49ee032a8a31?source=collection_archive---------24-----------------------
04/07/2020,https://medium.com/@gtashkinov,6 min read,Why You Should Try Kotlin,Even if you love Java,58,2 responses,https://medium.com/swlh/why-you-should-try-kotlin-fd11de0b924f?source=collection_archive---------25-----------------------
04/07/2020,https://medium.com/@sejalgoyal1998,7 min read,Data Visualization With Python: Matplotlib,-,113,0 responses,https://medium.com/swlh/data-visualization-with-python-matplotlib-16880d0d3a44?source=collection_archive---------26-----------------------
04/07/2020,https://medium.com/@viktors.telle,4 min read,How to Install .Net Core Runtime in Service Fabric Using Terraform,-,100,0 responses,https://medium.com/swlh/how-to-install-net-core-runtime-in-service-fabric-using-terraform-dcca95dedb74?source=collection_archive---------27-----------------------
04/07/2020,https://medium.com/@tristan-clapp,15 min read,Pytorch Zero to GANs: Final Week,-,81,0 responses,https://medium.com/swlh/pytorch-zero-to-gans-final-week-4888a20b57f9?source=collection_archive---------28-----------------------
04/07/2020,https://medium.com/@mrmaheshrajput,10 min read,Building Knowledge on the Customer Through Machine Learning,KDD Cup 2009 Challenge,71,0 responses,https://medium.com/swlh/building-knowledge-on-customer-through-machine-learning-2785b344749f?source=collection_archive---------29-----------------------
04/07/2020,https://medium.com/@kaushikpatnaik,3 min read,"Annotated RPN, ROI Pooling and ROI Align",-,56,0 responses,https://medium.com/swlh/annotated-rpn-roi-pooling-and-roi-align-6a40ac5bbe1b?source=collection_archive---------30-----------------------
04/07/2020,https://medium.com/@braytonhall,8 min read,"Using NLP to Visualize Ulysses, Part Two",-,163,0 responses,https://medium.com/swlh/using-nlp-to-visualize-ulysses-part-two-8ead745f320c?source=collection_archive---------31-----------------------
04/07/2020,https://medium.com/@meganscharles,11 min read,Desperately Seeking Sleep: Insomnia Edition,Improving my sleep with technology,228,3 responses,https://medium.com/swlh/desperately-seeking-sleep-insomnia-edition-6e32ae241431?source=collection_archive---------32-----------------------
04/07/2020,https://medium.com/@abmohan,2 min read,One-step Install+Save for Python Dependencies,-,56,0 responses,https://medium.com/swlh/one-step-install-save-for-python-dependencies-b7fe2bee1d09?source=collection_archive---------33-----------------------
04/07/2020,https://medium.com/@monica.arriagar,3 min read,Forget About Hard Skills; Soft Skills Are What You Need to Succeed,-,112,1 response,https://medium.com/swlh/forget-about-hard-skills-soft-skills-are-what-you-need-to-succeed-b4da9fdf618b?source=collection_archive---------34-----------------------
04/07/2020,https://medium.com/@bahayg,4 min read,JavaScript: Template Literals (ES6),Beginners Guide to Template Literals in JavaScript,50,0 responses,https://medium.com/swlh/javascript-template-literals-es6-f71d6f945272?source=collection_archive---------35-----------------------
04/07/2020,https://medium.com/@christianedwardfuller,6 min read,JavaScript + Art Supplies,-,56,0 responses,https://medium.com/swlh/javascript-art-supplies-af949595112e?source=collection_archive---------36-----------------------
04/07/2020,https://medium.com/@katiejgln,6 min read,Post-Pandemic Consumer Behaviour Trends to Watch,How companies can leverage those new trends to drive…,142,1 response,https://medium.com/swlh/post-pandemic-consumer-behaviour-trends-to-watch-29e51b34de40?source=collection_archive---------37-----------------------
04/07/2020,https://medium.com/@brokecollegekid,4 min read,The 3 Brands That Define Today’s College Campus,As observed by an average college student,163,1 response,https://medium.com/swlh/the-3-brands-that-define-todays-college-campus-cd0f77408968?source=collection_archive---------38-----------------------
04/07/2020,https://medium.com/@nouman10,5 min read,Building Recommendations for Articles With IBM,Using various algorithms for building recommendation…,50,0 responses,https://medium.com/swlh/building-recommendations-for-articles-with-ibm-c034e24f75b2?source=collection_archive---------39-----------------------
04/07/2020,https://medium.com/@jonathan-wong,4 min read,React: What Are Hooks and Why Should You Use Them?,-,152,0 responses,https://medium.com/swlh/react-what-are-hooks-and-why-should-you-use-them-bf1e79788305?source=collection_archive---------40-----------------------
04/07/2020,https://medium.com/@always4wrd,7 min read,Focus on Value: How to Gain Alignment With User Value Stories,-,174,0 responses,https://medium.com/swlh/focus-on-value-how-to-gain-alignment-with-user-value-stories-5f95c717dd2e?source=collection_archive---------41-----------------------
04/07/2020,https://medium.com/@amycubbon,5 min read,From Full-Time to Freelance: Why You Should Do It Too,-,256,1 response,https://medium.com/swlh/from-full-time-to-freelance-why-you-should-do-it-too-1c240c322d8b?source=collection_archive---------42-----------------------
04/07/2020,https://medium.com/@emiliokalifa,5 min read,"Startups Will Save the World, but We Must Save Them First",The most innovative startups and the urge…,56,2 responses,https://medium.com/swlh/startups-will-save-the-world-but-we-must-save-them-first-5ab4a913d26e?source=collection_archive---------43-----------------------
04/07/2020,https://medium.com/@avinash_dubey,3 min read,The Most Ignored “Regression” — 0 Independent Variables,A tutorial on linear regression typically…,53,0 responses,https://medium.com/swlh/the-most-ignored-regression-0-independent-variables-f26221a94c8b?source=collection_archive---------44-----------------------
04/07/2020,https://medium.com/@jmushailov,6 min read,Building a Personal Data Science or Analytics Brand Online,"I can’t tell you if it’s worth it, but I…",58,0 responses,https://medium.com/swlh/building-a-personal-data-science-analytics-brand-online-6c664e2dba9c?source=collection_archive---------45-----------------------
04/07/2020,https://medium.com/@sabahatiqbal,6 min read,d3 Shapes and Layouts — What’s It All About?,-,50,0 responses,https://medium.com/swlh/d3-shapes-and-layouts-whats-it-all-about-c1591b9139a0?source=collection_archive---------46-----------------------
04/07/2020,https://medium.com/@shubhankarnandakumar07,2 min read,Linear Regression Using Pytorch,Beginners,52,0 responses,https://medium.com/swlh/linear-regression-using-pytorch-be0018eb699f?source=collection_archive---------47-----------------------
04/07/2020,https://medium.com/@rossketeer,7 min read,Understanding Streams By Implementing Your Own Pt 2,-,102,0 responses,https://medium.com/swlh/understanding-streams-by-implementing-your-own-pt-2-a990a26523ad?source=collection_archive---------48-----------------------
04/07/2020,https://medium.com/@jp-fosterson,6 min read,Simon’s Chess Factor,Why do predicted AI advances come so late?,15,0 responses,https://medium.com/swlh/simons-chess-factor-8d5b83f88d3?source=collection_archive---------49-----------------------
04/07/2020,https://medium.com/@shubhankarnandakumar07,2 min read,Discovering a few Pytorch Tensor Functions,-,2,0 responses,https://medium.com/swlh/discovering-a-few-pytorch-tensor-functions-88224c97249?source=collection_archive---------50-----------------------
04/07/2020,https://medium.com/@nehayazmin,5 min read,How to Make the Most of Your Negative Reviews,-,75,0 responses,https://medium.com/swlh/negative-reviews-c6ce0962f144?source=collection_archive---------51-----------------------
24/01/2020,https://medium.com/@paulmyersmba,6 min read,A New Style of Leadership Is Emerging,LEADERSHIP EVOLUTION,2.1K,20 responses,https://medium.com/swlh/a-new-style-of-leadership-is-emerging-29e4e2b021bf?source=collection_archive---------0-----------------------
24/01/2020,https://medium.com/@yan-babitski,6 min read,How to read technical books,"Personal experience of getting a real understanding, not an illusion of it",2.1K,14 responses,https://medium.com/swlh/how-to-read-technical-books-35e3e02551c0?source=collection_archive---------1-----------------------
24/01/2020,https://medium.com/@brandonleebaars,5 min read,SwiftUI: Create a Sound Visualizer.,"Using the built-in microphone, sample the sound level in dB to…",290,1 response,https://medium.com/swlh/swiftui-create-a-sound-visualizer-cadee0b6ad37?source=collection_archive---------2-----------------------
24/01/2020,https://medium.com/@pmillerd,12 min read,The Boomer Blockade: How One Generation Reshaped Work & Left Everyone Else Behind,An exploration on…,1K,19 responses,https://medium.com/swlh/the-boomer-blockade-how-one-generation-reshaped-work-left-everyone-else-behind-5678fc32e64a?source=collection_archive---------3-----------------------
24/01/2020,https://medium.com/@lucinho_81887,14 min read,Product Discovery in the Multitrack of Madness,Figuring out “Dual Track” with 3 layer Continuous…,447,3 responses,https://medium.com/swlh/product-discovery-in-the-multitrack-of-madness-cfe8632f1962?source=collection_archive---------4-----------------------
24/01/2020,https://medium.com/@mary.hargreaves,6 min read,How I Got A Literary Agent,-,513,2 responses,https://medium.com/swlh/how-i-got-a-literary-agent-e31b7030579c?source=collection_archive---------5-----------------------
24/01/2020,https://medium.com/@neetjenl,17 min read,How I’ve landed illustration jobs,-,59,0 responses,https://medium.com/swlh/how-ive-landed-illustration-jobs-55d76f8e8935?source=collection_archive---------6-----------------------
24/01/2020,https://medium.com/@rachelcmwright,6 min read,I stopped drinking and realized the lie I’ve been telling myself.,-,1.1K,7 responses,https://medium.com/swlh/i-stopped-drinking-and-realized-the-lie-ive-been-telling-myself-2bdcabbfc261?source=collection_archive---------7-----------------------
24/01/2020,https://medium.com/@simonhuckk,13 min read,How to Create a Successful Online Marketplace,An ultimate step-by-step guide that leaves you ready to…,191,2 responses,https://medium.com/swlh/how-to-create-a-successful-online-marketplace-5ccf291a8fa2?source=collection_archive---------8-----------------------
24/01/2020,https://medium.com/@j.rhodes,8 min read,Data Visualisation in React —  Part I: An introduction to Recharts,A simple introduction to data…,217,1 response,https://medium.com/swlh/data-visualisation-in-react-part-i-an-introduction-to-recharts-33249e504f50?source=collection_archive---------9-----------------------
24/01/2020,https://medium.com/@douglascatalyst,9 min read,Warning: Your Website Won’t Generate Leads Without These 8 Features,Have you optimised your website to…,315,1 response,https://medium.com/swlh/warning-your-website-wont-generate-leads-without-these-8-features-958ea202438?source=collection_archive---------10-----------------------
24/01/2020,https://medium.com/@davidol,8 min read,The Best Startup Advice Ever — Start a Business You Know Nothing About,It is the least painful way to…,156,3 responses,https://medium.com/swlh/the-best-startup-advice-ever-start-a-business-you-know-nothing-about-126730684495?source=collection_archive---------11-----------------------
24/01/2020,https://medium.com/@tomsmith585,6 min read,"I’m Building a Pi-Controlled, Crypto-Heated Hydroponic Garden",Raspberry Pi + Crypto + Hydroponics +…,157,2 responses,https://medium.com/swlh/im-building-a-pi-controlled-crypto-heated-hydroponic-garden-dc0372360782?source=collection_archive---------12-----------------------
24/01/2020,https://medium.com/@binhdjdang,9 min read,What’s The Deal With Viral Apps?,And How Do Apps Go Viral?,91,0 responses,https://medium.com/swlh/whats-the-deal-with-viral-apps-79a41bf75ca5?source=collection_archive---------13-----------------------
24/01/2020,https://medium.com/@jessicalexicus,5 min read,Nobody Can Ever Have It All,"The sooner you stop trying, the better",1.91K,7 responses,https://medium.com/swlh/nobody-can-ever-have-it-all-c5cd3d0a2c55?source=collection_archive---------14-----------------------
24/01/2020,https://medium.com/@austinjwalker,5 min read,Why the Secret Ingredient to Your Leadership Is Time,"Five things that, when committed to over time…",200,1 response,https://medium.com/swlh/why-the-secret-ingredient-to-your-leadership-is-time-a0c377e19b4b?source=collection_archive---------15-----------------------
24/01/2020,https://medium.com/@ssaurel,6 min read,Bitcoin Is Risky Only if You Don’t Know What You Do With It,You need to understand what Bitcoin is…,150,0 responses,https://medium.com/swlh/bitcoin-is-risky-only-if-you-dont-know-what-you-do-with-it-d0a8b1dc2a14?source=collection_archive---------16-----------------------
24/01/2020,https://medium.com/@austinjwalker,7 min read,How to Have Corrective Conversations with Your Team,Five steps to addressing performance issues at…,102,1 response,https://medium.com/swlh/how-to-have-corrective-conversations-with-your-team-8e9d071fbda8?source=collection_archive---------17-----------------------
24/01/2020,https://medium.com/@roamy,5 min read,From Idea to Traction to Exit- How Startup Studios Run,-,166,0 responses,https://medium.com/swlh/from-idea-to-traction-to-exit-how-startup-studios-run-a8975d658973?source=collection_archive---------18-----------------------
24/01/2020,https://medium.com/@ssaurel,5 min read,Just Taking Action Every Day Puts You Ahead 99 Percent of People,Success will come sooner or later if…,330,4 responses,https://medium.com/swlh/just-taking-action-every-day-puts-you-ahead-99-percent-of-people-ad90adff7cce?source=collection_archive---------19-----------------------
24/01/2020,https://medium.com/@madisonepting,7 min read,My First Psychedelic Trip Turned Me Into A Tree,And it didn’t make sense until 3 years later.,369,2 responses,https://medium.com/swlh/my-first-psychedelic-trip-turned-me-into-a-tree-c57827ddad93?source=collection_archive---------20-----------------------
24/01/2020,https://medium.com/@dpineda,6 min read,Innovation in Business: How to Generate a Great Business Idea,-,76,0 responses,https://medium.com/swlh/innovation-in-business-how-to-generate-a-great-business-idea-c54935520268?source=collection_archive---------21-----------------------
24/01/2020,https://medium.com/@simonhuckk,7 min read,How to Use Your Skills to Boost Your Income,And attract long-term paying clients.,359,0 responses,https://medium.com/swlh/how-to-use-your-skills-to-boost-your-income-85704df25c44?source=collection_archive---------22-----------------------
24/01/2020,https://medium.com/@andrewrobins,7 min read,A Few Things I’ve Learned About Managing People in Tech,-,104,0 responses,https://medium.com/swlh/a-few-things-ive-learned-about-managing-people-in-tech-8821aa7bb84e?source=collection_archive---------23-----------------------
24/01/2020,https://medium.com/@vijayravi,8 min read,A Concept Of Spotify’s Dating Service,-,91,0 responses,https://medium.com/swlh/a-concept-of-spotifys-dating-service-ce0565b2173c?source=collection_archive---------24-----------------------
24/01/2020,https://medium.com/@devDeeJay,5 min read,Habits of Successful People,What is it that sets them apart from the ‘average’ ?,68,0 responses,https://medium.com/swlh/habits-of-successful-people-2afe6db57dec?source=collection_archive---------25-----------------------
24/01/2020,https://medium.com/@danielfschmidt,5 min read,How Adults Build Products,Applying the cognitive development of children to product management,175,1 response,https://medium.com/swlh/how-adults-build-products-54e905054df9?source=collection_archive---------26-----------------------
24/01/2020,https://medium.com/@paulbz,6 min read,Signaling Risk and the Error of Conventional Wisdom,-,194,0 responses,https://medium.com/swlh/signaling-risk-and-the-error-of-conventional-wisdom-aec9f77eec23?source=collection_archive---------27-----------------------
24/01/2020,https://medium.com/@piotrdomek,7 min read,How to Invest in AI Companies — The Case of AI-Washing,Labeling software products as AI-capable is a…,107,0 responses,https://medium.com/swlh/how-to-invest-in-ai-companies-the-case-of-ai-washing-1ebfaf038b90?source=collection_archive---------28-----------------------
24/01/2020,https://medium.com/@reenaganga1,5 min read,What is your AI really doing? VR could unlock its secrets.,3D visualizations offer a fresh…,81,0 responses,https://medium.com/swlh/what-is-your-ai-really-doing-vr-could-unlock-its-secrets-9d9af8a855cc?source=collection_archive---------29-----------------------
24/01/2020,https://medium.com/@leekahseng,5 min read,"Test Doubles in Swift: Dummy, Fake, Stub, Mock",-,5,0 responses,https://medium.com/swlh/test-doubles-in-swift-dummy-fake-stub-mock-694df5461cd?source=collection_archive---------30-----------------------
24/01/2020,https://medium.com/@rwolff94,7 min read,What Is B2B Content Syndication and Why Is it important?,-,56,0 responses,https://medium.com/swlh/what-is-b2b-content-syndication-and-why-is-it-important-76c5d57c1f79?source=collection_archive---------31-----------------------
24/01/2020,https://medium.com/@outmn,3 min read,Registration process,-,1K,0 responses,https://medium.com/swlh/registration-process-31215b8d5532?source=collection_archive---------32-----------------------
24/01/2020,https://medium.com/@wesleyowens15,3 min read,The Art of Sublimation,Take your feelings and divert them into something more productive,166,0 responses,https://medium.com/swlh/the-art-of-sublimation-5607b46b05b?source=collection_archive---------33-----------------------
24/01/2020,https://medium.com/@samrileywrites,8 min read,"“No One Likes You When You’re 22,” And Other Lies We Tell Ourselves",-,70,0 responses,https://medium.com/swlh/no-one-likes-you-when-youre-22-and-other-lies-we-tell-ourselves-d81425843bc4?source=collection_archive---------34-----------------------
24/01/2020,https://medium.com/@chaunceyzalkin,6 min read,Take A Good Look In The Mirror,"No, Really.",59,1 response,https://medium.com/swlh/take-a-good-look-in-the-mirror-c20896bfb1e?source=collection_archive---------35-----------------------
24/01/2020,https://medium.com/@vishipedia,5 min read,The Silly Mistake That Ruins Most Business Blogs (And How to Avoid It),The sheer number of deserted…,285,1 response,https://medium.com/swlh/the-silly-mistake-that-ruins-most-business-blogs-and-how-to-avoid-it-2afa9daa614f?source=collection_archive---------36-----------------------
24/01/2020,https://medium.com/@thehappyneuron,7 min read,"The Future Of Particle Accelerators, Beyond The Standard Model",-,123,2 responses,https://medium.com/swlh/the-future-of-particle-accelerators-beyond-the-standard-model-15027a0f8274?source=collection_archive---------37-----------------------
24/01/2020,https://medium.com/@weiyuan-liu,4 min read,Portals in Chrome — Going on a “Test Drive”,-,2,0 responses,https://medium.com/swlh/portals-in-chrome-going-on-a-test-drive-66b16971fb19?source=collection_archive---------38-----------------------
24/01/2020,https://medium.com/@indica,3 min read,A Design For A Paid Internet,What if the whole thing was a paywall?,15,1 response,https://medium.com/swlh/a-design-for-a-paid-internet-5c9edc0a41e4?source=collection_archive---------39-----------------------
24/01/2020,https://medium.com/@eisabai,5 min read,My Observations of San Francisco as a Tech Worker,I went to San Francisco for a week and this was my…,27,2 responses,https://medium.com/swlh/my-observations-of-san-francisco-as-a-tech-worker-c4f5ea241396?source=collection_archive---------40-----------------------
24/01/2020,https://medium.com/@azxsdc4829,5 min read,Hopeful Scientific Breakthroughs,-,141,1 response,https://medium.com/swlh/hopeful-scientific-breakthroughs-fa3a856f1651?source=collection_archive---------41-----------------------
24/01/2020,https://medium.com/@sanah.rose,7 min read,Gratitude — A Key to Unlock Creative/Writer’s Block,Channel your creative energy in the right…,124,3 responses,https://medium.com/swlh/gratitude-a-key-to-unlock-creative-writers-block-7593015c4296?source=collection_archive---------42-----------------------
24/01/2020,https://medium.com/@lee.mcgowan.work,4 min read,How to Write Strong Characters,"Strong characters create conflict, and conflict is everything.",22,2 responses,https://medium.com/swlh/how-to-write-strong-characters-32edef7f113a?source=collection_archive---------43-----------------------
24/01/2020,https://medium.com/@ediemeade6,6 min read,One Pothole Away From Disaster,Average American savings don’t provide a buffer for emergency expenses…,217,2 responses,https://medium.com/swlh/one-pothole-away-from-disaster-55e7150609f3?source=collection_archive---------44-----------------------
24/01/2020,https://medium.com/@sonaliverghese27,6 min read,The Future of Work Is Remote,THE FUTURE OF WORK,262,1 response,https://medium.com/swlh/the-future-of-work-is-remote-a7c6bae8b73e?source=collection_archive---------45-----------------------
24/01/2020,https://medium.com/@ngough-bioserendipity,4 min read,Yeast Reveal Insights into Type 2 Diabetes,Arsenic triggers degradation of glucose transporters.,100,0 responses,https://medium.com/swlh/yeast-reveal-insights-into-type-2-diabetes-ae1ef38df992?source=collection_archive---------46-----------------------
24/01/2020,https://medium.com/@rachreneebell,9 min read,How Brands Can Reach Millennials,In the Era of Endless Choice,60,0 responses,https://medium.com/swlh/how-brands-can-reach-millennials-f37213d85394?source=collection_archive---------47-----------------------
24/01/2020,https://medium.com/@staceychristiansen,5 min read,4 Signs You’re a Great Leader,Finding the X-factor,39,0 responses,https://medium.com/swlh/4-signs-youre-a-great-leader-8c3e637581e2?source=collection_archive---------48-----------------------
24/01/2020,https://medium.com/@astrosuf,5 min read,An Idea Isn’t Enough,Basic things to consider before you start running with no direction,7,0 responses,https://medium.com/swlh/an-idea-isnt-enough-a7c2c5f617a7?source=collection_archive---------49-----------------------
24/01/2020,https://medium.com/@contactsunny,5 min read,Sorting in MongoDB in Java using BasicDBObject,"In this post, we’ll see how we can write a MongoDB sort…",69,0 responses,https://medium.com/swlh/sorting-in-mongodb-in-java-using-basicdbobject-97fe1827a51?source=collection_archive---------50-----------------------
24/01/2020,https://medium.com/@nathanbeckord,5 min read,How Timing Can Make or Break Your Venture Capital Fundraising,-,5,0 responses,https://medium.com/swlh/how-timing-can-make-or-break-your-venture-capital-fundraising-19cf8a11a264?source=collection_archive---------51-----------------------
24/01/2020,https://medium.com/@stoweboyd,3 min read,"Woke, or Broke?",The corporate chieftains attending Davos are talking up ‘woke capitalism’. Remain…,180,0 responses,https://medium.com/swlh/woke-or-broke-8b1aaa8b1460?source=collection_archive---------52-----------------------
24/01/2020,https://medium.com/@paul-202,5 min read,Initially Starting Your Career With a Novel Is Actually Backing Your Way Into Writing,-,415,4 responses,https://medium.com/swlh/initially-starting-your-career-with-a-novel-is-actually-backing-your-way-into-writing-fc6e7cd4f8a4?source=collection_archive---------53-----------------------
24/01/2020,https://medium.com/@ecainwrites,5 min read,To Reduce Stress and Increase Your Love When Working From Home,-,71,0 responses,https://medium.com/swlh/to-reduce-stress-and-increase-your-love-when-working-from-home-8d8da8669d81?source=collection_archive---------54-----------------------
24/01/2020,https://medium.com/@michelledassen,7 min read,Getting to the inbox: delivery vs deliverability,-,70,0 responses,https://medium.com/swlh/getting-to-the-inbox-delivery-vs-deliverability-387e3e3cbbac?source=collection_archive---------55-----------------------
